"cidade";"ID"
"Porto Velho (RO)";"EMEIEF PEQUENOS TALENTOS (11000040)"
"Porto Velho (RO)";"EMEF PROF HERBERT DE ALENCAR (11000201)"
"Porto Velho (RO)";"ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARISE CASTIEL (11000309)"
"Porto Velho (RO)";"EMEIEF 13 DE MAIO (11000368)"
"Porto Velho (RO)";"EMEF ANIBAL MARTINS (11000449)"
"Porto Velho (RO)";"EMEIEF ANTONIO AUGUSTO VASCONCELOS (11000465)"
"Porto Velho (RO)";"EMEF ANTONIO FERREIRA DA SILVA (11000473)"
"Porto Velho (RO)";"EMEF BAIXA VERDE (11000546)"
"Porto Velho (RO)";"EMEF BARAO DO RIO BRANCO (11000562)"
"Porto Velho (RO)";"EMEF BOHEMUNDO ALVARES AFONSO (11000635)"
"Porto Velho (RO)";"EMEF BOM JESUS (11000651)"
"Porto Velho (RO)";"EMEIEF BOM PRINCIPIO (11000660)"
"Porto Velho (RO)";"EMEF CARANA (11000724)"
"Porto Velho (RO)";"EMEF DEIGMAR MORAES DE SOUZA (11000864)"
"Porto Velho (RO)";"EMEF DR JOAO FERNANDES (11000899)"
"Porto Velho (RO)";"EMEF DR RENATO MEDEIROS (11000945)"
"Porto Velho (RO)";"EMEI NOVA REPUBLICA (11000996)"
"Porto Velho (RO)";"EMEF ENG� WADIH DARWICH ZACARIAS (11001003)"
"Porto Velho (RO)";"EMEF ERMELINDO MONTEIRO BRASIL (11001011)"
"Porto Velho (RO)";"EMEF ESTELA DE ARAUJO COMPASSO (11001038)"
"Porto Velho (RO)";"EMEF FRANCISCO BRAGA (11001070)"
"Porto Velho (RO)";"EMEF GEDOCY RUAS WOLFF (11001100)"
"Porto Velho (RO)";"EMEF HEITOR VILLA LOBOS (11001151)"
"Porto Velho (RO)";"EMEF HENRIQUE DIAS (11001186)"
"Porto Velho (RO)";"EMEF IOLANDA LIMA (11001208)"
"Porto Velho (RO)";"EMEF IRMA HELENA FALCAO (11001216)"
"Porto Velho (RO)";"EMEF ERIALDO GOMES DO CARMO (11001224)"
"Porto Velho (RO)";"EMEIEF JOAO AFRO VIEIRA (11001267)"
"Porto Velho (RO)";"EMEF JOAQUIM VICENTE RONDON (11001275)"
"Porto Velho (RO)";"EMEIEF JOSE AUGUSTO DA SILVA (11001313)"
"Porto Velho (RO)";"EMEF JOSE FERREIRA (11001348)"
"Porto Velho (RO)";"EMEF LEOCADIO PARDO (11001399)"
"Porto Velho (RO)";"EMEF PROFESSOR MANOEL GRANGEIRO (11001445)"
"Porto Velho (RO)";"EMEF MANOEL PEDRO PEREIRA (11001461)"
"Porto Velho (RO)";"EMEF MARIA A QUEIROZ DE OLIVEIRA (11001500)"
"Porto Velho (RO)";"EMEF MARIA DA CRUZ MACENA (11001534)"
"Porto Velho (RO)";"EMEF MORVAN FREIRE BRASIL (11001607)"
"Porto Velho (RO)";"EMEF JOSE BEDONI (11001615)"
"Porto Velho (RO)";"EMEF JOSE DE ANCHIETA (11001623)"
"Porto Velho (RO)";"EMEIEF NACIONAL (11001658)"
"Porto Velho (RO)";"EMEF NACOES UNIDAS (11001666)"
"Porto Velho (RO)";"EMEF PADRE JOSE DE ANCHIETA (11001798)"
"Porto Velho (RO)";"EMEF PADRE CHIQUINHO (11001828)"
"Porto Velho (RO)";"EMEF PRESIDENTE MEDICI (11001895)"
"Porto Velho (RO)";"EMEF PROF ANTONIO DOS SANTOS (11001917)"
"Porto Velho (RO)";"EMEIEF MARIA IZAURA DA COSTA CRUZ (11001968)"
"Porto Velho (RO)";"EMEF PROF ALZIRA FALCAO (11002026)"
"Porto Velho (RO)";"EMEF PROF MARIA ANGELICA QUEIROZ DE OLIVEIRA (11002042)"
"Porto Velho (RO)";"E M E F RIO GUAPORE (11002085)"
"Porto Velho (RO)";"EMEIEF RIO MADEIRA (11002093)"
"Porto Velho (RO)";"EMEF SAO FRANCISCO DE ASSIS (11002158)"
"Porto Velho (RO)";"EMEF SANTO ANTONIO I (11002182)"
"Porto Velho (RO)";"EMEF SAO CARLOS (11002204)"
"Porto Velho (RO)";"EMEF SAO LUIZ GONZAGA (11002263)"
"Porto Velho (RO)";"EMEF SAO PEDRO (11002280)"
"Porto Velho (RO)";"EMEF PROFESSOR ANTONIO AUGUSTO REBELO DAS CHAGAS (11002310)"
"Porto Velho (RO)";"EMEF UNIAO (11002409)"
"Porto Velho (RO)";"EMEF VALE DO JAMARI (11002425)"
"Porto Velho (RO)";"EMEF VIDAL DE NEGREIROS (11002433)"
"Porto Velho (RO)";"EMEF VISCONDE DE MAUA (11002450)"
"Porto Velho (RO)";"EMEI - PEQUENO MESTRE (11002719)"
"Porto Velho (RO)";"EMEIEF DR TANCREDO DE ALMEIDA NEVES (11002778)"
"Porto Velho (RO)";"EMEIEF PINGO DE GENTE (11002883)"
"Porto Velho (RO)";"E M E F SENADOR OLAVO GOMES PIRES (11002956)"
"Porto Velho (RO)";"EMEF SAUL BENNESBY (11002999)"
"Porto Velho (RO)";"EMEIF ESTRELA DO AMANHA (11003006)"
"Porto Velho (RO)";"IME ENGENHEIRO FRANCISCO ERSE (11003138)"
"Porto Velho (RO)";"EMEIEF MARECHAL RONDON (11003308)"
"Porto Velho (RO)";"EMEF SANTA JULIA (11003324)"
"Porto Velho (RO)";"EMEF MANOEL CAROLINO TENORIO (11003359)"
"Porto Velho (RO)";"EMEF CASTRO ALVES (11003367)"
"Porto Velho (RO)";"EMEIEF DRA ANA ADELAIDE GRANGEIRO (11003383)"
"Porto Velho (RO)";"EMEF MANOEL MACIEL NUNES (11003391)"
"Porto Velho (RO)";"EMEF JAIME DE ALENCAR (11003456)"
