"CO_ENTIDADE","NO_ENTIDADE","CO_UF","CO_MUNICIPIO","TP_LOCALIZACAO","QT_PROF","ID"
11000040,"EMEIEF PEQUENOS TALENTOS",11,1100205,"Urbana",8,"EMEIEF PEQUENOS TALENTOS (11000040)"
11000201,"EMEF PROF HERBERT DE ALENCAR",11,1100205,"Urbana",22,"EMEF PROF HERBERT DE ALENCAR (11000201)"
11000309,"ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARISE CASTIEL",11,1100205,"Urbana",11,"ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARISE CASTIEL (11000309)"
11000368,"EMEIEF 13 DE MAIO",11,1100205,"Rural",33,"EMEIEF 13 DE MAIO (11000368)"
11000449,"EMEF ANIBAL MARTINS",11,1100205,"Rural",NA,"EMEF ANIBAL MARTINS (11000449)"
11000465,"EMEIEF ANTONIO AUGUSTO VASCONCELOS",11,1100205,"Rural",12,"EMEIEF ANTONIO AUGUSTO VASCONCELOS (11000465)"
11000473,"EMEF ANTONIO FERREIRA DA SILVA",11,1100205,"Urbana",35,"EMEF ANTONIO FERREIRA DA SILVA (11000473)"
11000546,"EMEF BAIXA VERDE",11,1100205,"Rural",1,"EMEF BAIXA VERDE (11000546)"
11000562,"EMEF BARAO DO RIO BRANCO",11,1100205,"Urbana",4,"EMEF BARAO DO RIO BRANCO (11000562)"
11000635,"EMEF BOHEMUNDO ALVARES AFONSO",11,1100205,"Rural",3,"EMEF BOHEMUNDO ALVARES AFONSO (11000635)"
11000651,"EMEF BOM JESUS",11,1100205,"Urbana",13,"EMEF BOM JESUS (11000651)"
11000660,"EMEIEF BOM PRINCIPIO",11,1100205,"Urbana",22,"EMEIEF BOM PRINCIPIO (11000660)"
11000724,"EMEF CARANA",11,1100205,"Rural",NA,"EMEF CARANA (11000724)"
11000864,"EMEF DEIGMAR MORAES DE SOUZA",11,1100205,"Rural",16,"EMEF DEIGMAR MORAES DE SOUZA (11000864)"
