"CO_ENTIDADE";"NO_ENTIDADE";"CO_UF";"CO_MUNICIPIO";"TP_LOCALIZACAO"
11000040;"EMEIEF PEQUENOS TALENTOS";11;1100205;"Urbana"
11000201;"EMEF PROF HERBERT DE ALENCAR";11;1100205;"Urbana"
11000309;"ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARISE CASTIEL";11;1100205;"Urbana"
11000368;"EMEIEF 13 DE MAIO";11;1100205;"Rural"
11000449;"EMEF ANIBAL MARTINS";11;1100205;"Rural"
11000465;"EMEIEF ANTONIO AUGUSTO VASCONCELOS";11;1100205;"Rural"
11000473;"EMEF ANTONIO FERREIRA DA SILVA";11;1100205;"Urbana"
11000546;"EMEF BAIXA VERDE";11;1100205;"Rural"
11000562;"EMEF BARAO DO RIO BRANCO";11;1100205;"Urbana"
11000635;"EMEF BOHEMUNDO ALVARES AFONSO";11;1100205;"Rural"
11000651;"EMEF BOM JESUS";11;1100205;"Urbana"
11000660;"EMEIEF BOM PRINCIPIO";11;1100205;"Urbana"
11000724;"EMEF CARANA";11;1100205;"Rural"
11000864;"EMEF DEIGMAR MORAES DE SOUZA";11;1100205;"Rural"
11000899;"EMEF DR JOAO FERNANDES";11;1100205;"Rural"
11000945;"EMEF DR RENATO MEDEIROS";11;1100205;"Rural"
11000996;"EMEI NOVA REPUBLICA";11;1100205;"Urbana"
11001003;"EMEF ENGº WADIH DARWICH ZACARIAS";11;1100205;"Urbana"
11001011;"EMEF ERMELINDO MONTEIRO BRASIL";11;1100205;"Rural"
11001038;"EMEF ESTELA DE ARAUJO COMPASSO";11;1100205;"Urbana"
11001070;"EMEF FRANCISCO BRAGA";11;1100205;"Rural"
11001100;"EMEF GEDOCY RUAS WOLFF";11;1100205;"Rural"
11001151;"EMEF HEITOR VILLA LOBOS";11;1100205;"Rural"
11001186;"EMEF HENRIQUE DIAS";11;1100205;"Rural"
11001208;"EMEF IOLANDA LIMA";11;1100205;"Rural"
11001216;"EMEF IRMA HELENA FALCAO";11;1100205;"Rural"
11001224;"EMEF ERIALDO GOMES DO CARMO";11;1100205;"Rural"
11001267;"EMEIEF JOAO AFRO VIEIRA";11;1100205;"Rural"
11001275;"EMEF JOAQUIM VICENTE RONDON";11;1100205;"Urbana"
11001313;"EMEIEF JOSE AUGUSTO DA SILVA";11;1100205;"Rural"
11001348;"EMEF JOSE FERREIRA";11;1100205;"Rural"
11001399;"EMEF LEOCADIO PARDO";11;1100205;"Rural"
11001445;"EMEF PROFESSOR MANOEL GRANGEIRO";11;1100205;"Rural"
11001461;"EMEF MANOEL PEDRO PEREIRA";11;1100205;"Rural"
11001500;"EMEF MARIA A QUEIROZ DE OLIVEIRA";11;1100205;"Rural"
11001534;"EMEF MARIA DA CRUZ MACENA";11;1100205;"Rural"
11001607;"EMEF MORVAN FREIRE BRASIL";11;1100205;"Rural"
11001615;"EMEF JOSE BEDONI";11;1100205;"Rural"
11001623;"EMEF JOSE DE ANCHIETA";11;1100205;"Rural"
11001658;"EMEIEF NACIONAL";11;1100205;"Urbana"
11001666;"EMEF NACOES UNIDAS";11;1100205;"Urbana"
11001798;"EMEF PADRE JOSE DE ANCHIETA";11;1100205;"Rural"
11001828;"EMEF PADRE CHIQUINHO";11;1100205;"Urbana"
11001895;"EMEF PRESIDENTE MEDICI";11;1100205;"Rural"
11001917;"EMEF PROF ANTONIO DOS SANTOS";11;1100205;"Rural"
11001968;"EMEIEF MARIA IZAURA DA COSTA CRUZ";11;1100205;"Urbana"
11002026;"EMEF PROF ALZIRA FALCAO";11;1100205;"Rural"
11002042;"EMEF PROF MARIA ANGELICA QUEIROZ DE OLIVEIRA";11;1100205;"Rural"
11002085;"E M E F RIO GUAPORE";11;1100205;"Urbana"
11002093;"EMEIEF RIO MADEIRA";11;1100205;"Urbana"
11002158;"EMEF SAO FRANCISCO DE ASSIS";11;1100205;"Urbana"
11002182;"EMEF SANTO ANTONIO I";11;1100205;"Rural"
11002204;"EMEF SAO CARLOS";11;1100205;"Rural"
11002263;"EMEF SAO LUIZ GONZAGA";11;1100205;"Rural"
11002280;"EMEF SAO PEDRO";11;1100205;"Urbana"
11002310;"EMEF PROFESSOR ANTONIO AUGUSTO REBELO DAS CHAGAS";11;1100205;"Urbana"
11002409;"EMEF UNIAO";11;1100205;"Rural"
11002425;"EMEF VALE DO JAMARI";11;1100205;"Rural"
11002433;"EMEF VIDAL DE NEGREIROS";11;1100205;"Rural"
11002450;"EMEF VISCONDE DE MAUA";11;1100205;"Rural"
11002719;"EMEI - PEQUENO MESTRE";11;1100205;"Urbana"
11002778;"EMEIEF DR TANCREDO DE ALMEIDA NEVES";11;1100205;"Urbana"
11002883;"EMEIEF PINGO DE GENTE";11;1100205;"Urbana"
11002956;"E M E F SENADOR OLAVO GOMES PIRES";11;1100205;"Urbana"
11002999;"EMEF SAUL BENNESBY";11;1100205;"Urbana"
11003006;"EMEIF ESTRELA DO AMANHA";11;1100205;"Urbana"
11003138;"IME ENGENHEIRO FRANCISCO ERSE";11;1100205;"Urbana"
11003308;"EMEIEF MARECHAL RONDON";11;1100205;"Rural"
11003324;"EMEF SANTA JULIA";11;1100205;"Rural"
11003359;"EMEF MANOEL CAROLINO TENORIO";11;1100205;"Rural"
11003367;"EMEF CASTRO ALVES";11;1100205;"Rural"
11003383;"EMEIEF DRA ANA ADELAIDE GRANGEIRO";11;1100205;"Rural"
11003391;"EMEF MANOEL MACIEL NUNES";11;1100205;"Rural"
11003456;"EMEF JAIME DE ALENCAR";11;1100205;"Rural"
11003464;"EMEF JOAO DE BARROS GOUVEIA";11;1100205;"Rural"
11003472;"EMEF JOAQUIM GONCALVES DE BARROS";11;1100205;"Rural"
11003480;"EMEF JOSE FELICIO DA COSTA";11;1100205;"Rural"
11003499;"EMEF JOSIAS FERREIRA DO NASCIMENTO";11;1100205;"Rural"
11003529;"EMEF MONTE HOREB";11;1100205;"Rural"
11003537;"EMEF NOSSA SRA APARECIDA";11;1100205;"Rural"
11003561;"EMEF PE FRANCISCO JOSE PUCCI";11;1100205;"Rural"
11003669;"EMEF VALDECI TEIXEIRA LIMA";11;1100205;"Rural"
11003677;"EMEF 04 DE AGOSTO";11;1100205;"Rural"
11003693;"EMEF CORA CORALINA";11;1100205;"Rural"
11003774;"EMEF OLYMPIA SALVATORE RIBEIRO";11;1100205;"Rural"
11037482;"EMEIEF SAO MIGUEL";11;1100205;"Urbana"
11037512;"EMEIEF CHAPEUZINHO VERMELHO";11;1100205;"Urbana"
11037539;"EMEIEF PROGRESSO";11;1100205;"Rural"
11037580;"EMEF JOSE RODRIGUES";11;1100205;"Rural"
11037598;"EMEF SANTA CLARA DE ASSIS";11;1100205;"Urbana"
11037636;"EMEF PROF PEDRO TAVARES BATALHA";11;1100205;"Urbana"
11037644;"EMEF RAIMUNDO AGOSTINHO DA SILVA";11;1100205;"Urbana"
11037652;"EMEF NOSSA SENHORA DE NAZARE";11;1100205;"Rural"
11037725;"EMEF TANCREDO NEVES";11;1100205;"Rural"
11037733;"EMEI MEU PEQUENO JONES";11;1100205;"Urbana"
11037814;"EMEF AMAZONAS";11;1100205;"Rural"
11037865;"EMEIF ULISSES SOARES FERREIRA";11;1100205;"Urbana"
11037881;"EMEIEF JOAQUIM VICENTE RONDON";11;1100205;"Rural"
11038039;"EMEF UNIAO DA VITORIA";11;1100205;"Rural"
11040440;"EMEF VISTA ALEGRE";11;1100205;"Rural"
11040475;"EMEF MENINO JESUS";11;1100205;"Rural"
11040483;"EMEF BOA ESPERANCA";11;1100205;"Rural"
11040491;"EMEF VITORIA REGIA";11;1100205;"Rural"
11040505;"EMEF NOSSA SENHORA APARECIDA";11;1100205;"Rural"
11040548;"EMEF RIO VERDE";11;1100205;"Rural"
11040556;"EMEIEF PROF MARIA JACIRA FEITOSA DE CARVALHO";11;1100205;"Rural"
11040580;"EMEF COM FE EM DEUS";11;1100205;"Rural"
11040610;"EMEF NOVO ORIENTE";11;1100205;"Rural"
11040920;"EMEIEF SENADOR DARCY RIBEIRO";11;1100205;"Urbana"
11041048;"EMEIEF AREAL DA FLORESTA";11;1100205;"Urbana"
11041056;"EMEI MORANGUINHO";11;1100205;"Urbana"
11041064;"EMEIEF ALEGRIA";11;1100205;"Urbana"
11041765;"EMEF NOVA ESPERANCA";11;1100205;"Rural"
11043881;"EMEF PAU BRASIL";11;1100205;"Rural"
11043938;"EMEIEF SANTA MARGARIDA";11;1100205;"Urbana"
11043989;"EMEIEF JESUS DE NAZARE";11;1100205;"Urbana"
11043997;"EMEF RIO PARDO";11;1100205;"Rural"
11044004;"EMEI MOISES FERREIRA NETO";11;1100205;"Urbana"
11044012;"EMEI CANTO DO UIRAPURU";11;1100205;"Urbana"
11045167;"EMEF MANOEL APARICIO NUNES ALMEIDA";11;1100205;"Urbana"
11045175;"EMEF JOAO RIBEIRO SOARES";11;1100205;"Urbana"
11045809;"EMEF FRANCISCO JOSE CHIQUILITO COIMBRA ERSE";11;1100205;"Rural"
11045825;"EMEF JOSE DE FREITAS";11;1100205;"Rural"
11045868;"EMEF JERUSALEM DA AMAZONIA";11;1100205;"Rural"
11045884;"EMEF ERNANDES COUTINHO";11;1100205;"Rural"
11045892;"EMEIEF 03 DE DEZEMBRO";11;1100205;"Rural"
11046589;"EMEF BEM AVENTURANCA";11;1100205;"Rural"
11046651;"EMEF RIACHO AZUL";11;1100205;"Rural"
11046660;"EMEF FLOR DO CUPUACU";11;1100205;"Rural"
